label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
ISR_POLITICAL,israel,not_satisfied,True,0.8028,-0.0699,-0.9311,0,0,
ISR_POLITICAL,israel,obedient,False,0.8341,-0.5118,0.7583,0,0,
INTL_ACTORS,usa,sensitive,False,-0.6484,0.2106,0.1923,0,0,
PAL_POLITICAL,pa,complex,False,0.0,1.0454,-0.0222,0,0,
ISR_POLITICAL,israel,social,False,0.0,0.8349,0.5586,0,0,
ISR_POLITICAL,israel,serious,False,0.0,0.0489,0.1019,0,0,
ISR_POLITICAL,israel,executive,False,0.0,0.8734,-0.3271,0,0,
ISR_POLITICAL,israel,existential,False,0.0,-0.631,0.5361,0,0,
PAL_POLITICAL,pa,transparent,False,0.0,0.6145,0.6204,0,0,
INTL_ACTORS,un,complex,False,0.0,1.0454,-0.0222,0,0,
INTL_ACTORS,un,unconditional,False,0.0,-0.1656,0.8196,0,0,
ISR_POLITICAL,israel,harmful,False,-0.8872,-0.7815,-1.2173,0,0,
ISR_POLITICAL,israel,harmful,False,-0.8872,-0.7815,-1.2173,0,0,
INTL_ACTORS,un,unflattering,False,0.0,-2.0323,-0.845,0,0,
ISR_POLITICAL,israel,bleak,False,0.0,-1.6197,-0.3074,0,0,
INTL_ACTORS,un,profound,False,0.9789,0.2498,1.0858,0,0,
PAL_POLITICAL,pa,unique,False,0.5628,2.2745,0.857,0,0,
PAL_POLITICAL,pa,unbuyable,False,0.5494,-1.6588,0.0394,0,0,
PAL_POLITICAL,pa,social,False,0.5494,0.8349,0.5586,0,0,
INTL_ACTORS,un,functional,False,0.5494,1.3575,0.6936,0,0,
INTL_ACTORS,un,continuous,False,0.5494,1.1536,0.268,0,0,
INTL_ACTORS,un,rare,False,-0.5739,0.1025,0.3933,0,0,
INTL_ACTORS,un,literal,False,0.0,-0.4141,0.3556,0,0,
INTL_ACTORS,un,violent,False,0.0,-1.3491,-1.8348,0,0,
INTL_ACTORS,un,unstable,False,0.0,-2.3618,-1.2943,0,0,
ISR_POLITICAL,israel,right,False,0.0,0.3563,0.7214,0,0,
PAL_POLITICAL,pa,spatial,False,0.0,0.6979,0.3494,0,0,
ISR_POLITICAL,israel,unranked,False,0.0,-0.9467,0.0097,0,0,
INTL_ACTORS,un,peaceful,False,0.0,0.3609,2.2424,0,0,
INTL_ACTORS,un,countless,False,0.8577,-0.0183,0.1703,0,0,
INTL_ACTORS,iran,immune,False,-0.8521,-0.6686,-0.1749,0,0,
