label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,un,unmanned,False,0.0,0.6656,-0.4279,0,0,
PAL_POLITICAL,pa,industrial,False,0.0,1.4218,-0.4993,0,0,
PAL_POLITICAL,pa,unlikely,False,0.0,-0.8203,-0.2337,0,0,
INTL_ACTORS,turkey,similar,False,0.0,0.4569,-0.0274,0,0,
INTL_ACTORS,un,unstable,False,0.0,-2.3618,-1.2943,0,0,
PAL_POLITICAL,pa,painful,False,-0.8963,-1.4033,-0.4238,0,0,
INTL_ACTORS,un,serious,False,-0.6473,0.0489,0.1019,0,0,
INTL_ACTORS,un,unequivocal,False,0.0,-0.0952,0.5401,0,0,
PAL_POLITICAL,pa,painful,False,-0.6307,-1.4033,-0.4238,0,0,
INTL_ACTORS,un,steady,False,-0.6856,0.4758,0.7386,0,0,
INTL_ACTORS,un,profound,False,0.0,0.2498,1.0858,0,0,
INTL_ACTORS,un,criminal,False,-0.7651,-0.7445,-1.6987,0,0,
INTL_ACTORS,un,invasive,False,-0.7485,-0.3203,-1.512,0,0,
PAL_POLITICAL,pa,silent,False,-0.8794,-0.0862,0.242,0,0,
INTL_ACTORS,un,preventive,False,-0.6396,0.3824,-0.3434,0,0,
ISR_POLITICAL,israel,sharp,False,0.0,0.5591,0.1951,0,0,
ISR_POLITICAL,israel,geographic,False,-0.7682,0.9181,-0.0216,0,0,
ISR_POLITICAL,israel,demographic,False,-0.7682,0.1285,0.0576,0,0,
INTL_ACTORS,un,profound,False,-0.5722,0.2498,1.0858,0,0,
INTL_ACTORS,un,unequivocal,False,0.0,-0.0952,0.5401,0,0,
PAL_RESISTANCE,gaza,dominant,False,0.0,0.2861,-0.4271,0,0,
INTL_ACTORS,un,technocratic,False,0.0,-0.8448,-0.4079,0,0,
INTL_ACTORS,trump,apparent,False,-0.5097,-0.6438,-0.0432,0,0,
INTL_ACTORS,un,unprecedented,False,0.0,0.7364,-0.5512,0,0,
PAL_RESISTANCE,gaza,technocratic,False,-0.8029,-0.8448,-0.4079,0,0,
INTL_ACTORS,trump,eager,False,-0.4857,0.0486,0.2497,0,0,
INTL_ACTORS,un,technocratic,False,-0.6178,-0.8448,-0.4079,0,0,
PAL_RESISTANCE,gaza,hostile,False,0.0,-1.1626,-1.6131,0,0,
PAL_RESISTANCE,gaza,realistic,False,-0.4969,0.964,0.6652,0,0,
PAL_POLITICAL,pa,indefinite,False,-0.4969,-1.0718,-0.4129,0,0,
PAL_POLITICAL,pa,stable,False,0.0,0.7608,0.5337,0,0,
PAL_POLITICAL,pa,painful,False,-0.8374,-1.4033,-0.4238,0,0,
INTL_ACTORS,un,uncompromising,False,-0.7392,0.7563,-0.1323,0,0,
PAL_POLITICAL,pa,fierce,False,0.0,-0.0316,-0.8923,0,0,
PAL_POLITICAL,pa,online,False,0.0,1.1173,0.1837,0,0,
PAL_POLITICAL,pa,violent,False,0.0,-1.3491,-1.8348,0,0,
PAL_POLITICAL,pa,separatist,False,0.0,-0.4337,-1.6399,0,0,
PAL_POLITICAL,pa,natural,False,0.5611,1.2376,1.0435,0,0,
INTL_ACTORS,un,terrorist,False,0.0,-0.5389,-2.5498,0,0,
ISR_POLITICAL,israel,existential,False,0.0,-0.631,0.5361,0,0,
INTL_ACTORS,un,supremacist,False,0.0,-0.5889,-2.0373,0,0,
INTL_ACTORS,un,demographic,False,-0.6549,0.1285,0.0576,0,0,
INTL_ACTORS,un,dedicated,False,0.0,2.1516,0.5092,0,0,
INTL_ACTORS,un,functional,False,0.0,1.3575,0.6936,0,0,
INTL_ACTORS,un,equal,False,0.0,0.5392,0.9132,0,0,
PAL_POLITICAL,pa,rampant,False,0.5536,-1.6147,-1.605,0,0,
INTL_ACTORS,iran,loyal,False,0.0,0.3816,0.2764,0,0,
INTL_ACTORS,iran,multi,False,0.0,1.5487,-0.1,0,0,
INTL_ACTORS,iran,protective,False,0.0,0.4436,0.1145,0,0,
ISR_POLITICAL,israel,primary,False,0.0,0.6692,0.274,0,0,
