Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
un,INTL_ACTORS,AGENT,understand,active,0.0,0.0357,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,lie,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,need,active,-0.7373915314674377,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,need,active,-0.7373915314674377,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,PATIENT,warm,passive,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,warm,passive,0.0,0.0,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,have,active,0.6970148086547852,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,AGENT,talk,active,0.0,0.1111,False,True,OUT_GROUP
we,IN_GROUP,AGENT,go,active,-0.757206380367279,0.0,False,True,IN_GROUP
zelensky,UKR_POLITICAL,AGENT,know,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,dominate,active,0.0,0.05,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,set,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,surround,passive,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,cost,active,-0.5810325741767883,0.0213,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,surrender,active,-0.5810325741767883,0.0213,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,save,active,-0.5810325741767883,0.0213,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,surrender,active,-0.5810325741767883,0.0213,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,piss,active,-0.7319341897964478,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,impose,active,-0.7319341897964478,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,give,passive,0.0,0.05,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,take,active,0.0,0.05,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,take,active,0.0,0.05,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,realize,active,-0.5040996074676514,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,go,active,-0.5040996074676514,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,concentrate,passive,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,remember,active,-0.7030052542686462,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,lie,active,-0.7030052542686462,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,surround,active,-0.7030052542686462,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,destroy,active,-0.7602887749671936,0.0,True,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,destroy,active,-0.7602887749671936,0.0,True,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,land,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,prevent,active,0.0,0.0,False,False,NAMED_ENTITY
