title,date,text
AI Camp… Where the Dream Begins,20-01-2026," The first Artificial Intelligence camp hosted by Lamset Ommi Center in Deir Dibwan and implemented by Aqlama Company was not just a training program for children, but a deep human experience that redefines our relationship with technology. Intensive days, interspersed with practical activities and interactive experiments, transformed AI from a complex term in the news into a tool for play, expression, and discovery in the hands of young children. Throughout the camp, the program was not limited to technological tracks only, but also included many educational events, sports activities, and recreational activities that gave children space for psychological release and building relationships among themselves."
AI Camp… Where the Dream Begins,20-01-2026,"Group games, movement exercises, and simple competitions rebalanced sitting in front of screens and engaging in physical activity, so the child left the hall carrying in their memory an integrated experience: knowledge that develops the mind, play that frees the spirit, and human interaction that promotes the values of cooperation and belonging.Day One: Breaking the Ice and Building CuriosityThe activities began with introductory games and ice-breaking, not just to set the mood, but to plant the first seed in the child's mind: technology is not something scary. From here, the concept of artificial intelligence was introduced through examples close to their world; how does the phone suggest their favorite videos? And why does the app understand what they say?"
AI Camp… Where the Dream Begins,20-01-2026,"Amazement was drawn on their faces, because the explanation was formulated in the language of childhood: questions, short stories, and daily situations.Day Two: Began with a Journey into the World of Programming and Ended with Smart StoriesOn the second day, we entered the world of programming. The goal was not to turn children into professional programmers, but to introduce them to the spirit of programming: for the child to understand that the computer does not “think” on its own, but waits for someone to tell it what to do. Simple examples and short codes were tried and executed by the children themselves, and the most beautiful moment was when one of them succeeded in making their small program work, as if they had accomplished a global invention."
AI Camp… Where the Dream Begins,20-01-2026,"As for the artificial intelligence activity on this day, it was about using smart applications to write stories and research, where their small ideas turned into complete texts without losing their childlike spirit.Day Three: Starting with Microsoft Office and Moving on to Generating Images from Children's ImaginationOn the third day, we moved to Microsoft Office applications through practical activities suitable for the participants' ages: writing text, formatting a presentation, and preparing simple tables."
AI Camp… Where the Dream Begins,20-01-2026,"The focus was on the concept of “how do I use the tool to serve me?” In the artificial intelligence activity, children used the Google Gemini platform to generate images, so they wrote descriptions from their imagination and words turned into digital paintings within seconds that reflected the innocence of childhood and the boldness of imagination.Day Four: Virtual Reality Day: When the Child Sees the Future with Their Own EyesWithin the camp, the Syndicate of Information Sciences – through a partner institution – implemented a VR virtual reality day."
AI Camp… Where the Dream Begins,20-01-2026,"Children wore glasses and entered new worlds with great enthusiasm.In the activity related to artificial intelligence, they learned about applications that serve society in agriculture, marketing, and industry with examples from their daily lives.Last Day: Canva and Comic StripsThe camp concluded with training on the Canva platform, supported by artificial intelligence technologies, where children created comic strips and short videos in which they expressed their dreams and ideas with remarkable freedom. This camp was not just about teaching tools, but about building a new relationship between the child and technology; a relationship based on curiosity, not fear, and on imagination, not indoctrination."
AI Camp… Where the Dream Begins,20-01-2026,"The camp concluded with a symbolic and moving moment represented by the distribution of certificates to the participants, where the children expressed their pride in what they had accomplished with genuine smiles of pride, holding in their hands the first official recognition of their ability to understand and create technology, not just consume it. These certificates were more than colored paper; they were an early message that this generation is capable of leading a humane digital future that does not swallow their childhood, but rather learns from it how to smile."
Poisoned Algorithms: How Content Platforms Turn Us into Minds Fed on Digital Fast Food,20-01-2026," Researcher and consultant in media and digital marketing. In an era where information flows are accelerating, algorithms are no longer merely innocent organizational tools, but have transformed into something akin to fast food for the mind; satisfying, momentarily delicious, yet nutritionally poor and toxic in the long run. Today's algorithms are designed to feed our attention, not our consciousness, and to satisfy our instincts, not our critical thinking, just as highly processed foods loaded with carbohydrates and sugars provide quick energy, then leave the body exhausted, unbalanced, and addicted to more. These “poisoned” algorithms do not produce knowledge, but rather continuous consumption. They do not ask: What does the mind need?"
Poisoned Algorithms: How Content Platforms Turn Us into Minds Fed on Digital Fast Food,20-01-2026,"Instead, they ask: What keeps it engaged for as long as possible? Content is presented in short, similar, highly stimulating, low-depth doses, addressing the primitive brain responsible for quick pleasure, and marginalizing cognitive areas associated with analysis and complex thinking. The result is a mind full of content, empty of understanding, just like a body full of calories, poor in nutrients. The analogy with fast food is not just metaphorical, but structural. Just as industrial food companies studied the chemistry of hunger and addiction, algorithm platforms have studied the chemistry of attention and dopamine. Repetition, surprise, controversy, anger, fear – all are digital flavorings added to content to increase its “consumability,” even if it lacks cognitive value."
Poisoned Algorithms: How Content Platforms Turn Us into Minds Fed on Digital Fast Food,20-01-2026,"Over time, the mind becomes accustomed to this pattern, losing its capacity for cognitive patience, for reading a long text, or following a complex idea, or tolerating a differing opinion without aversion. More dangerously, these algorithms do not just weaken thinking, but reshape it. They create cognitive bubbles, returning to us what we like and believe, and excluding what disturbs us or challenges our convictions. Here, the mind becomes like a person who eats the same fast food every day; they think they are full, but in reality, they suffer from cognitive malnutrition. The ability to criticize erodes, the sense of verification weakens, opinions turn into reactions, and knowledge into quick impressions."
Poisoned Algorithms: How Content Platforms Turn Us into Minds Fed on Digital Fast Food,20-01-2026,"In the Palestinian context, as elsewhere, this effect is more clearly visible, because algorithms do not operate in a vacuum, but within politically and psychologically charged environments. Highly emotional content is preferred, shocking images spread faster than deep analysis, and abbreviated narratives take precedence over complex understanding. Thus, the user is pushed, without realizing it, to consume ready-made narratives, instead of building a conscious stance based on knowledge and context. Resisting these algorithms does not mean withdrawing from the digital space, just as resisting fast food does not mean stopping eating, but rather regaining nutritional awareness. We need a balanced “cognitive diet,” integrating speed and depth, news and analysis, interaction and reflection."
Poisoned Algorithms: How Content Platforms Turn Us into Minds Fed on Digital Fast Food,20-01-2026,"We need to train the mind for patience, for asking questions, for systematic doubt, and for breaking the algorithmic addiction that trades our consciousness for fleeting moments of pleasure. In the end, algorithms are not absolute evil, but they become toxic when left without awareness, without accountability, and without the ability to choose. Just as we learned that the body does not live on sugar alone, we must learn that the mind does not live on trends alone. The mind needs real nourishment, sometimes slow, sometimes not outwardly appealing, but it is the only thing capable of building a conscious human being, not a perpetual consumer."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026," We live a daily paradox that we barely notice. Our cities and villages are full of modern cars, brightly lit shops, and smartphones in every hand. From the outside, the scene looks like a natural picture of a contemporary economy. But behind this facade, a harsher reality hides: our lives are dependent on a tap. A water tap that opens or closes, an electricity breaker that disconnects or reconnects, and a fuel truck that is allowed to pass or is prevented. We own the tools, but we don't have the keys to operate them.This is “false abundance.” Consumer abundance that conceals deep structural fragility. An economy that appears modern in form, but is inherently impotent, because it does not control the simplest inputs of life: energy, water, and fuel."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"In this model, economic capacity is not measured by the volume of consumption, but by the ability to continue when this consumption is forcibly stopped.The problem here is not technical or administrative, but structural par excellence. The Palestinian economy, as it has been shaped over the past decades, was designed to function as a dependent consumer market, not as an independent productive economy. More than 85% of the electricity consumed in the West Bank is purchased from Israel, and the annual electricity bill is estimated at more than three billion shekels, drained from household income and the local economy."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"The occupation is not managed by checkpoints alone, but also by monthly bills.In this context, many discussions about “improving networks” or “expanding their capacity” seem incomplete, and sometimes misleading. They assume that the defect is in the network's efficiency, not in its nature, meaning they try to fix a tool that was originally designed to be a control tool. And here lies the biggest trap: every investment in restoring the old network, without changing its logic, is an investment in deepening dependency.From here, the need arises to re-ask the question from its roots: Do we need a better network, or a different relationship with the network?"
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"The thesis is simple in its formulation but radical in its results: the solution does not lie in waiting for international aid to rehabilitate networks over which we have no sovereignty, but in gradually becoming independent from them, by building decentralized alternatives that reduce fragility and expand the margin of decision.This starts with energy. Reliance on a centralized electricity grid that is managed politically before it is managed technically makes the entire society hostage to a single decision. In contrast, decentralized energy production through solar systems and micro-grids opens up a different horizon. The cost of these systems has decreased globally by more than 80% over the last decade, and the average home system now recovers its cost within two to three years."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"The paradox is that the bill by which we finance dependency can be transformed into an investment that gives families a minimum level of energy security.However, the trap of false abundance is clearly evident in the petroleum file. The Palestinian citizen suffers, from time to time, from a sudden shortage in supply, which directly affects transportation, production, and the prices of basic goods. These crises are often not related to the absence of fuel from regional markets, but to the absence of a stable local stock capable of absorbing shocks."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"Despite talks about plans to establish petroleum depots, the reality is still based on a model that relies on continuous flows without an actual reserve.In this model, people's lives turn into a state of perpetual waiting: waiting for a truck, an approval, or the opening of a crossing. Any disruption in supply, no matter how short, creates an immediate crisis because the safety margin is almost non-existent. The problem here is not purely technical or financial, but structural. Owning a stock means owning a minimum of stability and decision-making power, which the current framework does not provide.The same logic applies to gas. There are no real strategic gas reserves, but small operational tanks sufficient for a limited number of days."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"Any disruption in supply immediately affects homes, bakeries, and hospitals. Again, gas is available in the region, but it is not available as a safety tool, because storage itself is absent.The scene of false abundance is not complete without stopping at the “bloated cash” in Palestinian banks. On paper, the picture looks reassuring: customer deposits in Palestinian banks exceeded twenty-one billion dollars, a figure that reflects high liquidity. But this abundance, like energy abundance, is restricted."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"A large part of this liquidity does not turn into productive investment or independent infrastructure, but remains confined within the banking system, seeking security in an economy that lacks decision-making tools.In contrast, estimates indicate that the consumption of fuel in the Palestinian territories exceeds one billion liters annually. We are facing a large energy market in terms of demand, but it operates without a stable strategic reserve, which means fuel is imported moment by moment, and becomes vulnerable to interruption in any crisis. Again, abundance in numbers, and fragility in reality.Energy, petroleum, gas, and cash are not separate issues, but different expressions of one model: abundance in form, and fragility in control."
Economy Without Keys: How We Are Managed by Abundance and Besieged by Decision,20-01-2026,"Available electricity that can be cut off, nearby fuel that is not guaranteed, and high liquidity that is not utilized. In each case, the problem is not the absence of the resource, but the absence of the keys.In the end, independence from the network does not mean isolation from the world, but rebalancing the relationship with it. To be part of the system, not its hostages. The real problem is not that we are poor in resources, but that we are poor in controlling them. And we do not need new abundance, but keys. When we have them, abundance transforms from an illusion… into a viable reality.*International Economic Consultant, and Board Member of International Digital Transformation"
The National Committee for the Administration of the Gaza Strip... A temporary rescue opportunity or a test of national identity?,20-01-2026," In the midst of one of the cruelest moments in contemporary Palestinian history, the idea of forming a national committee to administer the Gaza Strip was proposed, not as a preferred political option, but as an urgent attempt to deal with a deep political and administrative vacuum imposed by the war and its catastrophic humanitarian consequences."
The National Committee for the Administration of the Gaza Strip... A temporary rescue opportunity or a test of national identity?,20-01-2026,"At the same time, it is a direct result of the inability of both the Palestinian National Authority and the Hamas movement, and with them the entire national movement, to resolve the most important national entitlement: the formation of a unified national consensus government, despite the declared consensus on this in the “Beijing Declaration.”From here, the idea of the committee cannot be approached with a logic of preconceived rejection nor with a logic of excessive reliance, but rather as a potential transitional tool, whose success remains contingent on clear conditions, while its failure is linked to its slipping outside the comprehensive national framework."
The National Committee for the Administration of the Gaza Strip... A temporary rescue opportunity or a test of national identity?,20-01-2026,"The committee was not proposed because Palestinians chose temporary solutions, but rather imposed on them because they have failed, until now, to achieve the fundamental solution represented by a consensus government that assumes its responsibilities in Gaza and the West Bank together.The idea came about because both the Authority and Hamas failed, for different reasons, to move from managing the division to ending it. The Authority remained captive to political and security calculations and did not initiate a comprehensive formula that responds to the scale of the catastrophe in Gaza."
The National Committee for the Administration of the Gaza Strip... A temporary rescue opportunity or a test of national identity?,20-01-2026,"In contrast, Hamas did not definitively state its position to mediators and public opinion in a way that would open the door for a real, not merely formal, consensus government.An emergency committee, not a political projectThe committee comes in an exceptionally harsh context, where an unprecedented destructive war has left a near-complete collapse in the administrative and service infrastructure, and created an actual vacuum in managing people's affairs."
